issue,url,title,state,created,closed,labels,thread_type,verdict,duplicate_of,n_causes,cause_ids,categories,strengths,evidence_kinds,n_ruled_out,ruled_out_findings,summary,evidence
3090,https://github.com/mrdoob/three.js/issues/3090,Problem with merging geometries,CLOSED,2013-02-17,2015-09-03,Bug,correctness_bug,cause_established,,2,DCO-01; GBU-10,draw_call_overhead; geometry_buffer_updates,reporter_asserted; speculative,observed_cost; hypothetical,0,,GeometryUtils.merge crashes when merging geometries with mismatched UV/attribute sets; side discussion about runtime merging cost and draw-call reduction benefit.,"None: ""From 30fps - 20fps.  But now, after geometries are merged no drop occurs when moving over area filled with water tiles."" || zz85: ""doing it after rendering in webgl can be more expensive recreating buffers"""
3095,https://github.com/mrdoob/three.js/issues/3095,Performance issue or implementation with frustum culled objects?,CLOSED,2013-02-18,2013-02-18,Help (please use the forum),perf_question_or_help,cause_asserted_unverified,,1,CASI-04,culling_and_spatial_index,speculative,proposed_optimization,0,,Perf drops when scaling grid from 30x30 to 100x100 despite frustum culling; suggested that generic culling is less efficient than a custom scheme for a regular block world. Redirected to forum.,"bhouston: ""a custom clipping method should be much more efficient than any generic method"""
3097,https://github.com/mrdoob/three.js/issues/3097,Object3D Visibility,CLOSED,2013-02-18,2014-10-19,Question,perf_feature_request,cause_asserted_unverified,,0,,,,,0,,Request that Object3D.visible propagate to children in WebGLRenderer; maintainer notes it was omitted for performance reasons. Later implemented.,
3162,https://github.com/mrdoob/three.js/issues/3162,How to improve the performance of Ribbon with THREE.GeometryUtils.merge,CLOSED,2013-03-06,2015-07-01,,perf_question_or_help,no_mechanism,,0,,,,,0,,"User asks how to reduce CPU usage of THREE.Ribbon via geometry merging; no answer, Ribbon later removed.",
3182,https://github.com/mrdoob/three.js/issues/3182,Bokeh Shader 2,CLOSED,2013-03-12,2013-11-19,Enhancement,perf_feature_request,cause_established,,2,RTP-06; SPC-08,render_target_postprocessing; shader_program_compilation,reporter_asserted; reporter_asserted,observed_cost; observed_cost,0,,"Bokeh shader v2 contribution; discussion of fragment shader sample/ring counts and loop unrolling/branching costs, resolved by using #define-based compile-time configuration.","""The bokeh shader is now using 3 rings of 6 samples - this allows me to get 20-30 fps on my 3 year old macbook air"" || ""i've tried code generating the expanded loops, but it hasn't give any performance improvements, in fact it seems to be slower, esp if there are more branch conditions in the shaders"""
3187,https://github.com/mrdoob/three.js/issues/3187,Attach object to bone (Skeletal animation),CLOSED,2013-03-13,2017-09-09,Question,perf_question_or_help,incidental,,0,,,,,0,,Explanation of three.js skinning internals (bone texture vs uniforms); notes GPU skinning and the uniform-count limitation fallback.,
3225,https://github.com/mrdoob/three.js/issues/3225,CSS3DRenderer and Browser Zoom (ctrl+mousewheel) Doesn't seem to work correctly,CLOSED,2013-03-22,2013-03-24,Question,correctness_bug,cause_established,,2,MWU-07; DBD-11,matrix_world_updates; device_browser_driver,speculative; upstream_bug,hypothetical; observed_cost,0,,"CSS3DRenderer breaks under browser zoom due to a Chrome bug scaling matrix3d transforms; workaround decomposes matrixWorld into separate translate/rotate/scale, which adds per-object CPU overhead.","WestLangley: ""Ouch. That is a lot of overhead."" || marklundin: ""with Chrome whereby css transforms applied using `matrix3d` scale incorrectly under browser zoom"""
3242,https://github.com/mrdoob/three.js/issues/3242,THREE.GeometryUtils.merge doesnt support MeshFaceMaterials,CLOSED,2013-03-26,2013-03-28,Suggestion,perf_feature_request,incidental,,0,,,,,0,,"GeometryUtils.merge copies materialIndex verbatim, breaking MeshFaceMaterial merges; merging is used to batch tile geometry for performance. Offset param proposed.",
3256,https://github.com/mrdoob/three.js/issues/3256,Poor performance in Safari on Mac OS X 10.8,CLOSED,2013-03-29,2013-04-05,Question,perf_question_or_help,cause_asserted_unverified,,1,DBD-03,device_browser_driver,reporter_asserted,observed_cost,0,,Slow loading/rendering in Safari 6 on OS X while Chrome/Firefox are fine; attributed to Safari itself with no analysis.,"""chances are the problem is in Safari"" (mrdoob, hedged)"
3257,https://github.com/mrdoob/three.js/issues/3257,Shadows not rendering on textured plane,CLOSED,2013-04-01,2013-04-05,Bug,correctness_bug,incidental,,0,,,,,0,,Shadows missing/misplaced on AMD Radeon GPUs in Chrome on OSX; traced to an AMD driver bug via Chromium issue. A 'PERFORMANCE WARNING: Attribute 0 is disabled' also appeared.,
3278,https://github.com/mrdoob/three.js/issues/3278,performance improvement benchmark of LLJS and asm.js,CLOSED,2013-04-08,2013-04-08,Suggestion,perf_feature_request,no_mechanism,,0,,,,,0,,Suggestion to reimplement math with LLJS/asm.js and benchmark; deferred pending browser adoption. No mechanism identified.,
3288,https://github.com/mrdoob/three.js/issues/3288,github uses Three.js,CLOSED,2013-04-09,2013-09-12,,other_nonperf,incidental,,0,,,,,0,,Discussion of GitHub's STL viewer and upstreaming their loader; performance mentioned only as an aside about maintaining CoffeeScript.,
3314,https://github.com/mrdoob/three.js/issues/3314,Multiple spotlight performance problem,CLOSED,2013-04-14,2013-04-14,Help (please use the forum),perf_question_or_help,cause_asserted_unverified,,0,,,,,0,,5 shadow-casting spotlights drop FPS to 20-30; redirected to StackOverflow.,
3315,https://github.com/mrdoob/three.js/issues/3315,Sorting of objects not stable (Chrome),CLOSED,2013-04-14,2013-05-01,Bug,correctness_bug,incidental,,0,,,,,0,,"renderList objects had undefined z, making Array.sort unstable in Chrome and causing flicker; fixed by initializing z:0 in addBuffer. Reporter also noted sorting the whole list instead of only renderable objects is wasted work.",
3335,https://github.com/mrdoob/three.js/issues/3335,New R58 STLLoader is slower than prev version,CLOSED,2013-04-18,2013-04-25,Bug,perf_regression_report,cause_established,,1,LPC-03,loader_parse_cost,maintainer_confirmed,observed_cost,0,,r58 STLLoader much slower on 5MB binary STL because the file is fetched as a string and converted to a buffer array; fixed by gero3 with a jsperf benchmark.,"gero3: ""Becuase now we recieve the file as string and convert that to some sort of bufferarray. Which is why it takes so much longer."" plus jsperf testcase link"
3349,https://github.com/mrdoob/three.js/issues/3349,Implement a BufferGeometryLoader,CLOSED,2013-04-21,2015-09-03,Enhancement,perf_feature_request,cause_established,,1,LPC-04,loader_parse_cost,measured,proposed_optimization,0,,Proposal for a BufferGeometryLoader / base64 embedded binary in JSON; jsperf shows base64 decode to Float32Array is 2x faster and 3x smaller than JSON.parse of text floats.,"""Here is a jsperf that shows an optimized Base64 decoder to FloatArray is twice as fast as a JSON.parse to a float array"" ... ""The base64 version requires 53K characters to store where as the JSON version requires 155K characters."""
3381,https://github.com/mrdoob/three.js/issues/3381,"performancedrops after redrawing scene multiple times, memory seems ok",CLOSED,2013-04-25,2013-04-25,Help (please use the forum),perf_question_or_help,cause_asserted_unverified,,0,,,,,0,,Framerate degrades after repeatedly tearing down and re-initializing a WebGL scene/renderer; closed as a help request without diagnosis.,
3386,https://github.com/mrdoob/three.js/issues/3386,Holes in contours causes triangulation failure,CLOSED,2013-04-26,2014-02-17,Bug,correctness_bug,incidental,,0,,,,,0,,"Shape triangulation with holes fails; removeHoles hole-to-contour connection algorithm is unreliable. Fixed by jahting's rewrite in r66. Perf mentions are incidental (O(m*n) note, jsclipper aside).",
3431,https://github.com/mrdoob/three.js/issues/3431,three.js with SSE SIMD instructions,CLOSED,2013-05-04,2013-05-05,Suggestion,perf_feature_request,no_mechanism,,0,,,,,0,,Suggestion to adopt Dart/SIMD for faster math; maintainer says CPU is rarely the bottleneck and declines.,
3435,https://github.com/mrdoob/three.js/issues/3435,Layout defined buffer geometery,CLOSED,2013-05-05,2015-04-02,Enhancement,perf_feature_request,ruled_out_or_no_cause,,0,,,,,1,"Separate per-attribute buffers vs a single interleaved stride/offset-defined buffer; interleaving may improve vertex fetch locality, but reporter notes gains are not compelling on all platforms",Request for interleaved/layout-defined BufferGeometry to reduce attribute buffer overhead; performance benefit found platform-dependent.,
3454,https://github.com/mrdoob/three.js/issues/3454,Just calling attention to an ultra fast matrix implementation,CLOSED,2013-05-10,2013-09-11,Enhancement,perf_question_or_help,ruled_out_or_no_cause,,0,,,,,1,"The jsperf benchmark used two deprecated three.js functions that throw console warnings, and did not account for the typed-array construction needed to upload matrices to the GPU, making three.js appe","jsperf claimed a faster matrix library; gero3 showed the benchmarks were invalid (deprecated functions, no typed-array creation counted), reversing the results.",
3492,https://github.com/mrdoob/three.js/issues/3492,No more raycast on particlesystems? ,CLOSED,2013-05-17,2014-05-02,Enhancement,perf_feature_request,cause_asserted_unverified,,1,RP-05,raycasting_picking,reporter_asserted,observed_cost,0,,Request to restore raycasting on ParticleSystem for large point clouds; implemented by moving raycast into each object.,"v3ss0n: ""as all other 3d objects are too slow to handle more than 20k"""
3532,https://github.com/mrdoob/three.js/issues/3532,Shadow mapping vs scissor test,CLOSED,2013-05-31,2015-11-17,Bug,correctness_bug,cause_asserted_unverified,,1,SM-08,shadow_maps,reporter_asserted,observed_cost,0,,Shadow map rendering corrupted when scissor test enabled for multiple viewports; workaround requires a wasted extra full render pass. Fixed in r74.,"""I'm completely uselessly rendering also the normal scene into framebuffer in the first step, that is discarded afterwards (performance)"""
3574,https://github.com/mrdoob/three.js/issues/3574,"Warning: Textures ""unrenderable""",CLOSED,2013-06-17,2013-06-27,Bug,perf_question_or_help,cause_established,,1,TUD-08,texture_upload_decode,maintainer_confirmed,hypothetical,0,,Chrome 'PERFORMANCE WARNING: Some textures are unrenderable' — caused by binding textures before their image has loaded; warning later removed by Chrome.,"mrdoob: ""You're correct. Seems like that warning is going away anyway"" in reply to ""the texture is being used before being loaded"""
3610,https://github.com/mrdoob/three.js/issues/3610,Updating a large BufferGeometry efficiently?,CLOSED,2013-07-02,2013-07-22,Question,perf_question_or_help,cause_asserted_unverified,,1,GBU-03,geometry_buffer_updates,reporter_asserted,observed_cost,0,,Updating a few vertices of a large BufferGeometry re-uploads the entire buffer via bufferData; resolved by adding partial updates with bufferSubData.,"body: ""But this is slow.""; ""Updating the whole buffer each time looks to be really inefficient.""; BradDodi: ""The performance is much better"" (no numbers)"
3624,https://github.com/mrdoob/three.js/issues/3624,"Instancing Meshes, transform & lighting",CLOSED,2013-07-08,2015-07-01,Enhancement,perf_feature_request,no_mechanism,,0,,,,,0,,"Request for hardware instancing to avoid per-instance draw calls; not supported at the time, later implemented via #6242.",
3638,https://github.com/mrdoob/three.js/issues/3638,Support m4 custom attribute,CLOSED,2013-07-14,2015-09-03,Enhancement,perf_feature_request,cause_asserted_unverified,,1,DCO-01,draw_call_overhead,reporter_asserted,proposed_optimization,0,,Request for m4 custom attributes in ShaderMaterial to batch ~5000 independently-rotating voxels into one merged geometry instead of thousands of drawElements calls.,"body: ""to avoid calling drawElements ~5000 times per frame"""
3663,https://github.com/mrdoob/three.js/issues/3663,What if we killed Face4... ?,CLOSED,2013-07-23,2013-07-30,Suggestion,perf_regression_report,cause_established,,1,GBU-12,geometry_buffer_updates,reporter_asserted,observed_cost,0,,"Removing Face4 (r60) split quads into triangles; WestLangley measured 10-25% FPS drops in some examples, mrdoob could not reproduce.","WestLangley: ""25% slower FPS"""
3667,https://github.com/mrdoob/three.js/issues/3667,how to add texture to sphere in three.js?,CLOSED,2013-07-24,2013-07-24,Help (please use the forum),other_nonperf,incidental,,0,,,,,0,,Help request about sphere texture; 'rendering performance' only appears in a pasted code comment.,
3668,https://github.com/mrdoob/three.js/issues/3668,video texture - Safari,CLOSED,2013-07-24,2013-07-24,Help (please use the forum),perf_question_or_help,no_mechanism,,0,,,,,0,,Video-texture-on-sphere slow in Safari; redirected to StackOverflow with no mechanism identified.,
3670,https://github.com/mrdoob/three.js/issues/3670,Angle based vertex normal smoothing,CLOSED,2013-07-24,2015-09-03,Enhancement,perf_feature_request,cause_established,,2,CAH-20; LPC-07,core_algorithmic_hotpath; loader_parse_cost,measured; reporter_asserted,observed_cost; observed_cost,0,,Proposal for angle-based vertex normal smoothing; discussion notes its heavy adjacency computation cost vs computeVertexNormals.,"GuyGood: ""I measured around 30ms on an old core2 duo desktop CPU"" || bartmcleod: ""This works well, but there is an impact on load time."""
3699,https://github.com/mrdoob/three.js/issues/3699,Back / Front Buffer or Refresh Issue,CLOSED,2013-07-29,2013-07-31,Duplicate,correctness_bug,duplicate,3700,0,,,,,0,,Closed as duplicate of #3700 (model display/wireframe artifacts).,
3700,https://github.com/mrdoob/three.js/issues/3700,Model Display Problem and Unwanted Wireframes,CLOSED,2013-07-29,2013-07-31,Help (please use the forum),correctness_bug,incidental,,0,,,,,0,,"CanvasRenderer artifacts and disappearing model; 'performance monitor' is an incidental mention, redirected to StackOverflow.",
3806,https://github.com/mrdoob/three.js/issues/3806,css3d_sprites example does not work on iPhone or Android Phone,CLOSED,2013-08-24,2013-08-24,Bug,correctness_bug,incidental,,0,,,,,0,,css3d_sprites example failed on mobile because performance.now() was unavailable there; no perf content.,
3840,https://github.com/mrdoob/three.js/issues/3840,Scene.__addObject() performance,CLOSED,2013-09-05,2013-09-11,Suggestion,perf_defect_report,cause_established,,1,CAH-03,core_algorithmic_hotpath,measured,observed_cost,0,,"Scene.__addObject used indexOf on __objects, making scene population O(n^2); __objects removed after measurements.","body: ""the `indexOf()` statement searches through the whole array every time an object is added to the scene. This means a **quadratic** increase in computation time"""
3850,https://github.com/mrdoob/three.js/issues/3850,"around 100 mb  large json data , how to handle",CLOSED,2013-09-07,2013-09-09,Help (please use the forum),perf_question_or_help,cause_asserted_unverified,,2,LPC-04; GBU-02,loader_parse_cost; geometry_buffer_updates,reporter_asserted; speculative,observed_cost; hypothetical,0,,Loading ~100MB JSON model crashes Firefox; suggested to use binary formats/BufferGeometry.,"body: ""firefox seems to crash over such large file"" || arcanis: ""still uses a standard Geometry object, which could have performance issues with a large number of polygons"""
3856,https://github.com/mrdoob/three.js/issues/3856,Mirror mirror...,CLOSED,2013-09-10,2018-01-11,Enhancement,perf_feature_request,cause_asserted_unverified,,2,RTP-03; O-03,render_target_postprocessing; other,reporter_asserted; reporter_asserted,proposed_optimization; observed_cost,0,,"Proposal for a FlatMirror/reflection class; discussion of render-target cost, recursive mirrors, and vertex displacement tradeoffs.","Slayvin: ""each time you create a mirror, you create a new renderTarget (two actually, if you use the two-mirror method)"" || brokedRobot: ""Shrinking your browser window will make it run faster, since the water quad size is based on the window width/height."""
3883,https://github.com/mrdoob/three.js/issues/3883,AMD Support (require.js / node loader),CLOSED,2013-09-19,2015-09-03,Enhancement,other_nonperf,incidental,,0,,,,,0,,Request for AMD/require.js module support; 'performance.now()' only appears inside pasted example code.,
3896,https://github.com/mrdoob/three.js/issues/3896,index0AttributeName - 'Attribute  0 disabled' warning ,CLOSED,2013-09-21,2014-03-11,Enhancement,perf_defect_report,cause_asserted_unverified,,2,DCO-15; AAM-11,draw_call_overhead; app_api_misuse,reporter_asserted; reporter_asserted,observed_cost; observed_cost,0,,"Materials other than ShaderMaterial don't bind 'position' to attribute location 0, so browsers emulate attribute 0 by allocating and binding a synthetic vertex array each draw, producing 'Attribute 0 is disabled' performance warnings.","dolpheen: ""they construct and bind an vertex array (with number of count verices) to attribute index 0 (what is called emulation)"" || body: ""it was added only for ShaderMaterial"""
3901,https://github.com/mrdoob/three.js/issues/3901,Frustum culling can be improved for large objects,CLOSED,2013-09-22,2013-10-02,Enhancement,perf_feature_request,cause_established,,1,CASI-01,culling_and_spatial_index,maintainer_confirmed,proposed_optimization,0,,Suggestion to improve frustum culling accuracy for large flat objects; maintainer judged the proposed fix not worthwhile.,"WestLangley: ""Large, flat objects, like a terrain, have a bounding sphere that is very different in shape from the object itself"""
3965,https://github.com/mrdoob/three.js/issues/3965,r61 performance issues,CLOSED,2013-10-13,2013-10-18,Bug,perf_regression_report,no_mechanism,,0,,,,,0,,OBJ loading time went from 14s to 74s between r58 and r61; mrdoob fixed loading performance after receiving the model but no mechanism was described in the thread.,
4069,https://github.com/mrdoob/three.js/issues/4069,Add GPGPU example?,CLOSED,2013-11-05,2016-02-13,Suggestion,perf_feature_request,cause_asserted_unverified,,2,RTP-16; SPC-06,render_target_postprocessing; shader_program_compilation,reporter_asserted; reporter_asserted,hypothetical; proposed_optimization,0,,Adding a GPGPU flocking example; side discussion about simulation pass cost and shader trig optimization.,"zz85: ""simulation passes can be intensive, and usually it could even be reduced eg. 30hz instead of 60hz for performance reasons"" || zz85: ""and then to optimize it a little more (removing the inverse trigo functions)"""
4074,https://github.com/mrdoob/three.js/issues/4074,Speeding up Canvas Render,CLOSED,2013-11-05,2013-11-07,Enhancement,perf_question_or_help,cause_asserted_unverified,,3,DBD-02; DCO-07; O-04,device_browser_driver; draw_call_overhead; other,speculative; reporter_asserted; reporter_asserted,hypothetical; proposed_optimization; proposed_optimization,0,,"CanvasRenderer slow (7fps) on iPad 3 in landscape; traced to retina canvas size exceeding GPU texture limits, plus general canvas 2D cost tips.","""My best guess of what's going on here is ios is automatically adding 2 pixels to the size of the texture of the canvas"" || ""Render as many triangles (or quads) as you can within a single beginPath()/endPath(). This leads to a significant improvement."" || ""is a neat trick but severely degrades performance"""
4150,https://github.com/mrdoob/three.js/issues/4150,WebGLRenderer - Nonfunctional `clearColor` Parameter,CLOSED,2013-11-26,2014-05-11,Enhancement,correctness_bug,no_mechanism,,0,,,,,0,,Documentation/API confusion about clearColor/clearAlpha and premultipliedAlpha; a passing question about whether premultiplied alpha has a perf benefit is never answered.,
4155,https://github.com/mrdoob/three.js/issues/4155,Subimaging for THREE.Texture,CLOSED,2013-11-28,2018-03-09,Enhancement,perf_feature_request,cause_asserted_unverified,,1,TUD-09,texture_upload_decode,reporter_asserted,observed_cost,0,,Request for texSubImage2D partial texture updates; full texImage2D re-uploads of large atlases/panoramas block the main thread.,"FreakTheMighty: ""`textImage2d` blocks the UI thread for a little over half a second"""
4160,https://github.com/mrdoob/three.js/issues/4160,batching of draw calls of all objects with same mesh - maintaining independent properties of objects,CLOSED,2013-12-01,2019-09-16,Enhancement,perf_feature_request,duplicate,,0,,,,,0,,Request for automatic instancing/batching of many objects sharing a mesh to cut per-object draw calls and uniform setup; closed in favor of #17505 (InstancedMesh).,
4165,https://github.com/mrdoob/three.js/issues/4165,Jpeg2000 usage,CLOSED,2013-12-02,2015-09-03,Suggestion,perf_feature_request,cause_asserted_unverified,,1,TUD-01,texture_upload_decode,speculative,hypothetical,0,,Suggestion to use JPEG2000 for smaller textures and progressive decode for mipmaps; tradeoff of decode cost vs file size raised but never investigated.,"Doidel: ""2-3 times slower jpeg2000 algorithms (compression, decompression)"""
4221,https://github.com/mrdoob/three.js/issues/4221,Proposal: Decoupling WebGLRenderer from ThreeJS Scene graph,CLOSED,2013-12-17,2020-08-17,Suggestion,perf_feature_request,cause_established,,3,O-09; DCO-01; TS-03,other; draw_call_overhead; transparency_sorting,reporter_asserted; reporter_asserted; reporter_asserted,proposed_optimization; proposed_optimization; proposed_optimization,0,,"Proposal to decouple WebGLRenderer from the scene graph and add shader/state batching to reduce GPU state-change costs; prototype written, never merged, no numbers provided.","body: ""group it by shaders to minimize costly state changes in the render pipeline"" || WestLangley: ""Currently, if you have 1000 meshes, each sharing a single `SphereGeometry` and a single material, it results in 1000 draw calls."" || gero3: ""The problem is transparent objects. We should have 2 lists, One for opaque object and 1 for transparent object."""
4316,https://github.com/mrdoob/three.js/issues/4316,CompressedTexture: Support `flipY` in shaders.,CLOSED,2014-01-19,2026-05-22,Enhancement,correctness_bug,cause_asserted_unverified,,1,TUD-13,texture_upload_decode,speculative,hypothetical,0,,"Compressed (DDS/KTX) textures render upside down because UNPACK_FLIP_Y_WEBGL doesn't apply to compressed formats; flipping in JS would be slow, so shader-side uv flip is the fix.","wrr: ""flipping DXT would be quite slow"""
4324,https://github.com/mrdoob/three.js/issues/4324,setText with TextGeometry during runtime?,CLOSED,2014-01-22,2014-01-22,Help (please use the forum),perf_feature_request,cause_asserted_unverified,,2,GBU-01; MLD-01,geometry_buffer_updates; memory_leak_disposal,reporter_asserted; reporter_asserted,observed_cost; observed_cost,0,,"No setText on TextGeometry; users must dispose and rebuild geometry each frame, causing leaks and slowdowns.","echteinfachtv: ""I remove the 3d text and set it again with the new text values."" || Pfeifenjoy: ""When I do this I get a memory leak."""
4364,https://github.com/mrdoob/three.js/issues/4364,PERFORMANCE WARNING: Attribute 0 is disabled. This has signficant performance penalty ,CLOSED,2014-01-29,2014-01-30,Bug,perf_defect_report,cause_asserted_unverified,,2,DBD-09; SPC-16,device_browser_driver; shader_program_compilation,speculative; reporter_asserted,hypothetical; observed_cost,0,,Chrome emits 'Attribute 0 is disabled' performance warning in morphtargets examples because the compiler assigns a disabled morphTarget attribute to index 0; workaround is material.index0AttributeName='position'.,"MiiBond: ""not having attribute 0 used forces some sort of expensive emulation"" || the material compilation puts the ""morphTarget7"" attribute in index 0. I'm guessing that this is something that isn't actually part of the model data"
4366,https://github.com/mrdoob/three.js/issues/4366,Changing position of a PointLight does not work correctly with some drivers,CLOSED,2014-01-30,2014-02-17,Bug,correctness_bug,incidental,,0,,,,,0,,Noisy point-light rendering on NVIDIA/Linux bisected to the physically-based shading commit: pow() with a slightly negative base (from float error in 1.0 - dot()) is undefined in GLSL. Side discussion concludes GLSL function calls are inlined so refactoring has no perf cost.,
4386,https://github.com/mrdoob/three.js/issues/4386,Experimenting with Geometry2,CLOSED,2014-02-07,2014-05-12,Enhancement,perf_feature_request,cause_established,,5,GBU-02; GBU-13; PFAG-05; IBL-01; CAH-10,geometry_buffer_updates; geometry_buffer_updates; per_frame_allocation_gc; instancing_batching_limits; core_algorithmic_hotpath,measured; reporter_asserted; measured; reporter_asserted; maintainer_confirmed,observed_cost; observed_cost; observed_cost; hypothetical; observed_cost,0,,"mrdoob proposes replacing object-heavy THREE.Geometry (arrays of Vector3/Face3) with flat typed-array geometry, measuring ~10x faster generation and far lower memory; discussion covers uint16 index splitting cost, per-element accessor/proxy overhead, multi-material face splitting, and the allocation cost of compatibility wrappers.","body: ""Projects will consume less memory (single `Float32Array`s vs tons of `Vector2`/`Vector3`s)"" || bhouston: ""we are letting ThreeJS's automatic splitting of Geometry do it this way.  But it is really slow when this happens."" || bhouston: ""creating properties per element in the large array is highly problematic in terms of memory usage"" || crobi: ""Those cause overhead as well since the engine has to split faces by the face materials"" || mrdoob: ""It's definitely faster than the current `PlaneGeometry`, but, not as fast/optimised as `PlaneBufferGeometry`"""
4480,https://github.com/mrdoob/three.js/issues/4480,Add `returnDescendants` option to Raycaster#intersectObject(s),CLOSED,2014-02-20,2014-02-20,Suggestion,perf_feature_request,cause_asserted_unverified,,1,RP-02,raycasting_picking,reporter_asserted,observed_cost,0,,Request for a raycaster option to return the root object rather than descendants; workaround of walking parents each hit asserted to be slow. Maintainers suggest userData back-reference.,"""Right now I have to iterate over the returned intersections and bubble up their parents until I found the one that I actually passed to `intersectObjects`. Pretty bad performance and ugly"""
4488,https://github.com/mrdoob/three.js/issues/4488,BufferGeometry numItems usage,CLOSED,2014-02-22,2014-03-01,Enhancement,perf_question_or_help,cause_asserted_unverified,,1,PFAG-06,per_frame_allocation_gc,reporter_asserted,hypothetical,0,,"Removal of BufferGeometry numItems in r66 removed the ability to draw a subset of a preallocated buffer, forcing reallocation of Float32Arrays on update; restored as `count`/drawcalls.","""Obviously, I don't want to create new Float32Arrays on every update."""
4500,https://github.com/mrdoob/three.js/issues/4500,Refactored export package,CLOSED,2014-02-25,2014-04-17,Enhancement,other_nonperf,incidental,,0,,,,,0,,Refactored Python exporter package discussion; 'performance' only mentioned as an aside about JS object maps.,
4501,https://github.com/mrdoob/three.js/issues/4501,Speedup of computeBoundingSphere,CLOSED,2014-02-25,2014-03-28,Enhancement,perf_feature_request,cause_asserted_unverified,,0,,,,,0,,"Proposal to skip the second loop in computeBoundingSphere; maintainer notes it yields a tighter sphere, no benchmarks provided.",
4584,https://github.com/mrdoob/three.js/issues/4584,GLSL Modifiers,CLOSED,2014-03-17,2014-03-22,Enhancement,perf_feature_request,cause_asserted_unverified,,1,GBU-06,geometry_buffer_updates,reporter_asserted,observed_cost,0,,Request for GLSL-based geometry modifiers; current modifiers loop over vertices in JS on the CPU each frame.,"""having an object with many vertices (eg subdivision) has performance issues (maybe related to editor) since all vertex loops are done in js code"""
4590,https://github.com/mrdoob/three.js/issues/4590,Text Triangulation Issues,CLOSED,2014-03-19,2015-09-03,Bug,correctness_bug,cause_asserted_unverified,,2,CAH-07; SGS-01,core_algorithmic_hotpath; scene_graph_scale,speculative; reporter_asserted,proposed_optimization; proposed_optimization,0,,Font triangulation winding/bezier-order bugs; side discussion names the O(n^2)-O(n^3) triangulator and per-character mesh building as costs.,"jahting: ""can lead to running times of n^3"" || mattdesl: ""triangulates and builds meshes per character in a given string. Slow and wasteful when you have text with repeating glyphs"""
4594,https://github.com/mrdoob/three.js/issues/4594,r66 shape holes Process logic's Performance is very poor,CLOSED,2014-03-20,2014-05-12,Enhancement,perf_defect_report,cause_established,,1,CAH-07,core_algorithmic_hotpath,maintainer_confirmed,observed_cost,0,,Shape.Utils.removeHoles is very slow (1670ms) for a 1405-point contour with 2 large holes; maintainer reproduced and suggests hole sorting.,"""contour >>>1405  holes>>> 2 (1000, 500)  time 1670ms""; jahting: ""Doing this sped up my test example by a factor of 5."""
4599,https://github.com/mrdoob/three.js/issues/4599,Make matrixWorld & matrix always up-to-date?,CLOSED,2014-03-22,2015-09-03,Enhancement,perf_feature_request,cause_established,,2,MWU-04; CAH-01,matrix_world_updates; core_algorithmic_hotpath,reporter_asserted; maintainer_confirmed,observed_cost; observed_cost,1,"V8 optimizes matrix.compose() well, so replacing it with dirty-flag checks yields little gain","Proposal to make matrix/matrixWorld always up-to-date via dirty flags and observable Vector3/Euler/Quaternion with onChange, avoiding full-scene updateMatrixWorld traversals each frame. Maintainers prototyped it: getter/setter and per-instance defineProperty overhead plus V8's good optimization of matrix.compose() negated the gains, so it was not adopted.","the-reality-engineer: ""the renderer traverses the entire scene every time, which doubles the unnecessary calculations per frame"" || mrdoob: ""is much slower than `this.x = v`."""
4601,https://github.com/mrdoob/three.js/issues/4601,square roots,CLOSED,2014-03-23,2014-03-23,Question,perf_question_or_help,ruled_out_or_no_cause,,0,,,,,1,"Math.sqrt performance depends on the JS engine/CPU mapping to a native hardware sqrt instruction; bitwise approximation is equal or much slower in Chrome/Safari, faster only in some environments","Question about fast inverse sqrt; benchmarks show the bitwise approximation is not faster in most browsers, so native Math.sqrt is not a hotspot.",
4613,https://github.com/mrdoob/three.js/issues/4613,Feature request: high-performance and flexible selection,CLOSED,2014-03-27,2015-09-03,Enhancement,perf_feature_request,no_mechanism,,0,,,,,0,,Request for high-performance region selection APIs; no mechanism of cost discussed.,
4617,https://github.com/mrdoob/three.js/issues/4617,Un-needed draw calls (in canvas),CLOSED,2014-03-27,2014-03-28,,perf_defect_report,cause_established,,1,DCO-16,draw_call_overhead,maintainer_confirmed,observed_cost,0,,CanvasRenderer issued draw calls for faces with opacity 0; early return fixed it and was merged.,"mrdoob: ""Hmmm, good catch! Fixed :)"" in response to the reporter's profile showing ""things were drawing when context.globalAlpha was 0"""
4619,https://github.com/mrdoob/three.js/issues/4619,Dynamic shadows,CLOSED,2014-03-27,2015-09-03,Enhancement,perf_question_or_help,cause_asserted_unverified,,0,,,,,0,,Multiple spotlight shadows stack incorrectly in forward rendering; discussion explains the shadow-multiply approach and why per-light shadowing costs more texture units.,
4627,https://github.com/mrdoob/three.js/issues/4627,"Wireframe for BufferGeometry based objects, e.g. Planes",CLOSED,2014-03-28,2015-08-18,Suggestion,perf_feature_request,cause_established,,1,GBU-11,geometry_buffer_updates,maintainer_confirmed,hypothetical,0,,Request to restore material.wireframe for BufferGeometry; discussion of hidden cost of extra wireframe index buffers. Fixed in 2015.,"mrdoob: ""The problem is that the renderer will have to create a second set of buffers internally anyway."""
